ID,X,Y,c,n1,n2,u1,u2,inUse,Joint,midJoint
0,598.29755,123.034645,2,12,13,-1,-1,true,false,true
1,618.0,301.0,2,14,16,15,12,true,true,false
2,334.27554,296.12595,2,17,19,18,20,true,true,false
3,237.67313,543.54553,2,18,21,-1,-1,true,false,true
4,477.94986,393.26318,2,15,19,-1,-1,true,false,true
5,454.81635,0.05450821,2,22,13,23,24,true,true,false
6,457.98022,743.18787,2,21,26,25,27,true,true,false
7,323.88406,133.72122,2,17,23,-1,-1,true,false,true
8,491.35712,275.05576,2,14,20,-1,-1,true,false,true
9,752.18146,367.33258,2,24,26,-1,-1,true,false,true
10,674.3751,554.0667,2,16,27,-1,-1,true,false,true
11,827.79486,385.03418,2,22,25,-1,-1,true,false,true
12,0.0,0.0,2,0,1,-1,-1,true,false,false
13,0.0,0.0,2,0,5,-1,-1,true,false,false
14,0.0,0.0,2,1,8,-1,-1,true,false,false
15,0.0,0.0,2,1,4,-1,-1,true,false,false
16,0.0,0.0,2,1,10,-1,-1,true,false,false
17,0.0,0.0,2,2,7,-1,-1,true,false,false
18,0.0,0.0,2,2,3,-1,-1,true,false,false
19,0.0,0.0,2,2,4,-1,-1,true,false,false
20,0.0,0.0,2,2,8,-1,-1,true,false,false
21,0.0,0.0,2,3,6,-1,-1,true,false,false
22,0.0,0.0,2,5,11,-1,-1,true,false,false
23,0.0,0.0,2,5,7,-1,-1,true,false,false
24,0.0,0.0,2,5,9,-1,-1,true,false,false
25,0.0,0.0,2,6,11,-1,-1,true,false,false
26,0.0,0.0,2,6,9,-1,-1,true,false,false
27,0.0,0.0,2,6,10,-1,-1,true,false,false
28,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
29,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
30,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
31,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
32,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
33,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
34,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
